Attribute,Tag
mpg,Fuel Efficiency
miles,Fuel Efficiency
mileage,Fuel Efficiency
efficiency,Fuel Efficiency
efficient,Fuel Efficiency
speed,Engine Power
power,Engine Power
fast,Engine Power
powerful,Engine Power
performance,Engine Power
mph,Engine Power
acceleration,Engine Power
looks,Looks
looking,Looks
elegance,Looks
elegant,Looks
luxury,Looks
luxurious,Looks
beautiful,Looks
stylish,Looks
style,Looks
price,Cost
cost,Cost
cheap,Cost
prices,Cost
finance,Cost
financing,Cost
expensive,Cost
costly,Cost
safe,Safety
safety,Safety
family,Safety
reliable,Safety
reliability,Safety
comfortable,Safety
maintenance,Safety
maintain,Safety
